video_id,title,channel,category_id,category,views,likes,description,tags,url,published_at,comment_count,country
oRQDGwrTtSo,마음씨가 따뜻한 상위 1% 친누나ㅋㅋㅋㅋㅋㅋ,한살차이 [Hansal],24,엔터테인먼트,1315843,45192,#shorts,,https://www.youtube.com/watch?v=oRQDGwrTtSo,2025-04-20T15:04:33Z,250,KR
GQHhiQOwkpo,SNL 김원훈 애드립 웃참 실패한 서예지 #shorts #snl7 #쿠팡플레이,요즘예능 1분요약,24,엔터테인먼트,7699091,142235,SNL 김원훈 애드립 웃참 실패한 서예지 #shorts #snl7 #쿠팡플레이,"snl,snl 코리아,snl7,snl시즌7,서예지,서예지 딱딱,김원훈,가스라이팅,김원훈 애드립",https://www.youtube.com/watch?v=GQHhiQOwkpo,2025-04-14T03:00:13Z,1601,KR
8PVPtGa2lXs,정찰병들의 직감을 무시하면 안되는 이유,온무비,24,엔터테인먼트,4090547,67916,#shorts #영화 #영화리뷰 #영화추천,,https://www.youtube.com/watch?v=8PVPtGa2lXs,2025-04-16T05:22:01Z,1256,KR
cpxjQ91VTYw,한때는 아름다운 날개가 있었던 요정,한컷무빕,24,엔터테인먼트,3069782,59479,,,https://www.youtube.com/watch?v=cpxjQ91VTYw,2025-04-17T08:00:44Z,341,KR
WG7juzwxzwE,"진짜로 손만 잡고 자면 어떡하냐, 이 등신아!!! #shorts #킹더랜드",드라마내컷,24,엔터테인먼트,4503756,45479,#shorts #킹더랜드 #이준호 #임윤아 #고원희 #김가은 #김선영,,https://www.youtube.com/watch?v=WG7juzwxzwE,2025-04-15T11:11:00Z,509,KR
ORoA7-K_Xe4,미스터 비스트 더빙 녹음하면 페이는 얼마 받을까? #shorts #아는형님,예능내컷,24,엔터테인먼트,1522321,26324,#shorts #아는형님 #강호동 #서장훈 #김영철 #이수근 #김희철 #민경훈 #이상민,,https://www.youtube.com/watch?v=ORoA7-K_Xe4,2025-04-19T15:21:00Z,504,KR
2WgepUCjMR8,용기로 지킨 소녀의 미래,원더맨 WonderMan,24,엔터테인먼트,1964766,76445,"용기로 지킨 소녀의 미래

📌 출연 및 비즈니스·협찬 문의
creator@crayonuniverse.com

Instagram: wonderman.official
TikTok: wonderman.official

#사회실험 #실험카메라 #시민영웅 #감동영상 #시민참여드라마 #몰카 #몰래카메라","사회실험,실험카메라,감동영상,원더맨",https://www.youtube.com/watch?v=2WgepUCjMR8,2025-04-17T10:00:03Z,1002,KR
6bdIke6fVpA,개봉하기도 전에 예매율 38% 찍어버린 개미친 영화 ㄷㄷ #야당,지무비 : G Movie,24,엔터테인먼트,2255295,54043,"#지무비 #영화 #야당
🎬영화, ≪야당≫은 오는 4월 16일 개봉합니다.
---------------------------------------------
📌 ≪야당≫ 예매하러 가기
→ https://vo.la/CVLOPR
---------------------------------------------
★★★★★★★★★★★★★★★★★★★★★
🔆신  등급🔆 가입해주신 김대선, Edward Chae님께 감사드립니다.
★★★★★★★★★★★★★★★★★★★★★
---------------------------------------------
📌 지무비 멤버십 가입 → https://www.youtube.com/channel/UCaHGOzOyeYzLQeKsVkfLEGA/join
*멤버십에 가입하시면 일부 영상들의🔥결말 끝까지 다룬 영상🔥멤버십 한정 히든 영상🔥영상 선공개🔥회원 전용 특별 포스팅을 즐기실 수 있습니다.
---------------------------------------------
🔥영화관 대관 등급🔥 가입해주신 
헤이제이 HEY J님께 감사드립니다.
---------------------------------------------
'IMAX 티켓 한 장' 등급 가입해주신
★김재정, 김일갑, Bangartte, 이선간, 희남매네, 나번기, fenómeno_K님 감사드립니다.★
---------------------------------------------
'일반관 티켓 한장' 등급 가입해주신
진, 정준일, 하양먼지, 913, 김봉구, 최영규, Andy, 유가빈, ㅈㄱㄹ, 마이크로진, makreentage, 온리, 하영, ds, 박이런, 헤헤, 조재영, 김월례님 감사드립니다.
---------------------------------------------
📌G score : ★★★★★★★☆☆☆
---------------------------------------------
💡지무비가 7년 간 축척한 모든 유튜브 비법 노하우💡
  📚도서 ≪지무비의 유튜브 엑시트 ≫ 구매 링크 
   → https://link.coupang.com/a/bW49tx 
---------------------------------------------
📌 지무비 공식 홈페이지→ https://g-movie.co.kr/
📌 지무비 인스타 → https://www.instagram.com/awayout1
📌 지무비 굿즈스토어 → https://smartstore.naver.com/gmovie
📌 문의 → awayout2@naver.com
---------------------------------------------
🚨저작권 허가 및 제작비를 지원 받아 업로드 한 영상입니다.
🚨무단 편집, 업로드 및 재배포를 엄격히 금지합니다. 특히 타SNS 불펌러들은 발견 즉시 강경 대응하며 선처는 절대 없음을 알려드립니다.
🚨The movie clips on my channel has gotten copyright permission of copyright holder.","영화,지무비,야당,유해진,강하늘,박해준,류경수,채원빈,폭싹속았수다 양관식",https://www.youtube.com/watch?v=6bdIke6fVpA,2025-04-17T07:00:04Z,892,KR
jf36RV1qQgU,한국인만 가능한 ‘일본인 뇌정지’ 방법.. ㅋㅋ,김세달,24,엔터테인먼트,3161855,95875,,,https://www.youtube.com/watch?v=jf36RV1qQgU,2025-04-14T22:00:46Z,2296,KR
GwD9thhuzw0,공부도 잘하고 눈치 100단인 오이영 #언젠가는슬기로울전공의생활,마드필름 Ma:de film,24,엔터테인먼트,2967098,66149,#언젠가는슬기로울전공의생활 #고윤정 #신시아 #강유석 #한예지 #언슬전 #오이영 #표남경 #김사비 #엄재일 #넷플릭스 #tvndrama #tvn #드라마 #드라마추천,"언젠가는 슬기로울 전공의생활,고윤정,신시아,한예지,강유석,표남경,오이영,김사비,엄재일,언슬전,언젠가는 슬기로울,언젠가는슬기로울전공의생활,슬의생,넷플릭스,드라마 추천,tvn,tvndrama,티비엔,신작,드라마 신작,4월 신작",https://www.youtube.com/watch?v=GwD9thhuzw0,2025-04-15T11:00:35Z,705,KR
