category,categoryId,channelTitle,commentCount,country,description,id,likeCount,publishedAt,tags,title,url,viewCount
entertainment,24,PhantomShorts,1132,US,Him saving his money is making me sob 😭 Boy saves duys money from golddigger #fyp #emotional #movie #edit #shorts #interesting #relationship #film #funny #memories #viral #trending #feedshorts #blowup #youtubeshorts #diewithsmile #foryou #golddigger #couple #love,eBNnw0phqjM,1379255,2025-04-17T18:45:18.000Z,"[julie and the phantoms season 2, julie and the phantoms soundtrack, julie and the phantoms songs, julie and the phantoms react, julie and the phantoms perfect harmony, julie and the phantoms wake up, julie and the phantoms stand tall, julie and the phantoms ending, julie and the phantoms, julieandthephantoms, edge of great, jatp, jatp full episodes, descendants, Disney karaoke, Disney shows edit, Netflix series, What to watch, Movie, julie and the phantoms 2, jatp song, teen, comedy]",Him saving his money is making me sob 😭 #fyp #emotional #movie #shorts,https://www.youtube.com/watch?v=eBNnw0phqjM,22349099
entertainment,10,Snow Moments,24066,US,,Zzyuh0Kyi3U,1507780,2025-04-15T23:06:40.000Z,,His loyalty saved his life😳,https://www.youtube.com/watch?v=Zzyuh0Kyi3U,31153081
entertainment,10,Ngamshishi,7721,US,"Cake Boss is an American reality television series that originally aired on the cable television network TLC. The series premiered on April 19, 2009, and spawned four spin-offs: Next Great Baker, Kitchen Boss, Bake You Rich, and Bakery Boss.

On January 26, 2015, Cake Boss was renewed for two additional seasons, which aired on TLC until 2017. Season 9 premiered on May 18, 2019, with the show moving to TLC's sister network, Discovery Family. The show officially ended on April 11, 2020.",9trJTiOB8BE,2426547,2025-04-14T22:14:13.000Z,,he was born for this #shorts #funny #explore #comedy #usa #cakeboss #bake #cake #bakery #buddy #fyp,https://www.youtube.com/watch?v=9trJTiOB8BE,43938171
entertainment,22,LUCKY_MAN,7894,US,"Troll Face Edits,
Troll Face,

Related:-
Moment Before Disaster, 
Troll Face, 
Troll Face Edit,
Troll,
Moments Before Disaster, 
#trollface #troll

Tags:-
#geography#russia#usa#canada#history#worldwar#geography#maps#freepalestine#israel#nowary#geography#edit#maps#safevid#ottoman#umayyad#mughal#date#ussr#marathaempire#siwil#china#billgates#romania#japan#sealand#ohio#southkorea#ukraine#ireland#argentina#brazil#saudiarabia#turkey#greece#russia#algeria#indoneisa#usa#uk#norway#denmark#germany#france#continent#army#italy#world#korea#china#afghanistan#syria#jordan#eygpt#canada#niger#army#megustastu#albania#bulgaria#azerbaijan#vietnam#laos#cambodia#angola#poland#tazmania#angola#elsalvador#nicaragua#trollface#edit#countries#leaders#sigma#trending#northkorea#uzbekistan#gana#nato#oman#iraq#usa#conflict#meme#geographyer#ottoman#countryballs#syria#bulgaria#romania#greece#shortsvideo#viralvideo#tiktokvirals#mongolia#japan#hungary#czechia#edits#ukraine#australia#summer#finland#morocco#armenia#palestine#malaysia#iran#ıraq#mongolia#new#keşfet#türkiye#turkey#viralshorts#ww2#ww1#mapping#country#allied#real#middleeast#world#palestine#centralpowers#future#nowary#ussr#reels#shorts#meme#earth#china#japanese#italy#europe#asia#australia#fun#geography#youtube#trend#new#cuba#mexico#philipinnes#cambodia#south#north#austria#hungary#sweet#azerbaijan#edit#music#gigachad#true#animals#naberyoutube#flag#backgraund#commander#army#soldier#now#than#past#helpme#makethe#japanese#hirohito#trending#peace",fAtVPSmMXII,,2025-04-16T12:10:01.000Z,,Moment Before Cooked ☠️ #trollface #edit #shorts,https://www.youtube.com/watch?v=fAtVPSmMXII,119162334
entertainment,10,SHIVAA HI DEF,5838,US,,GscNgrVcnek,927403,2025-04-15T00:31:21.000Z,,Nice ! 🫠 #fyp #funnyvideos #lol #daughter #fypシ #youtuber,https://www.youtube.com/watch?v=GscNgrVcnek,12022526
entertainment,22,Daddy Cooper,1058,US,Show: Georgie and Mandy's first marriage,UKjopZLMT0U,551758,2025-04-18T15:00:47.000Z,,Georgie confronts Todd 💀💀 ep 17,https://www.youtube.com/watch?v=UKjopZLMT0U,7737114
entertainment,22,Shawn Ryan Shorts,5892,US,,R-kz3deX1uU,900260,2025-04-14T14:47:34.000Z,,Would you risk it? 🤣,https://www.youtube.com/watch?v=R-kz3deX1uU,12408173
entertainment,27,Law By Mike,2863,US,"How Criminals Escaped The Police! Subscribe to @LawByMike for more tips! 

Do you want more details on this law, it’s in my newsletter! Join The Free Law By Mike Newsletter Here! 
*link in bio* or go to https://newsletter.lawbymike.com/subscribe

⭐ Join the channel membership and get priority responses to your comments! ⭐
*link in bio*

⚖️ Questions? Issues?👇 
go to IThinkIHaveACase.com *link in bio*

#law #education #mrbeast #police #lawyer #lawbymike #repeatafterme #tiktok #youtubeshorts #cop #cops #lawyers #legal #attorney #lawschool #hacks #legal

DISCLAIMER (Of course, I'd have one 😁)
Hey, you might think that this info makes me your lawyer, but it doesn’t and I’m not. Sorry, but I AM NOT YOUR LAWYER unless we have an engagement agreement. I am just providing public information here, like a library does, and am not providing you with legal advice about your situation. So, it would be totally unreasonable for you to conclude we have an attorney-client relationship just because you're viewing this information.",i8B8qHeA8gI,1808578,2025-04-14T18:28:21.000Z,"[law, lawyer, laws, hacks, law by mike, lawbymike, lawyer reacts, lawyer tips, legal, repeat after me, repeatafterme, shorts, shorts hot, shorts video, shorts youtube, social media addiction, tips, tips and tricks, tricks, tricky, law by mike tiktok, law school, lawsuit, lawsuit explained, lawsuits and settlements, legal analysis, mrbeast, music, real lawyer, songs, lawyers, reaction, tiktok, tik tok, funny, youtube shorts, trending, funny videos, react, memes, mike, beast, jimmydonaldson]",Real Ways Criminals Escaped The Police,https://www.youtube.com/watch?v=i8B8qHeA8gI,32431348
entertainment,1,Marcella Devereaux,6493,US,"In this pivotal scene from Three-Body Problem Season 1, Episode 2, physicist Jin Cheng (portrayed by Jess Hong) dons the VR headset provided by Ye Wenjie, entering the virtual realm of ""Three-Body."" Assuming the avatar of Copernicus, she meets the Count of the West and his companion, the Follower. The Count invites Copernicus to the pyramid to consult Emperor Zhou on the sun's erratic movements, explaining that during chaotic eras, the emperor seeks guidance from scholars to ensure the survival of their people. As they discuss, the virtual sun unexpectedly rises from the cold night, melting surrounding ice. Seeking shelter under a rock, space constraints force the Count to push the Follower out. The Follower pleads not to be abandoned, then removes her coat and lies on the ground. Under Copernicus's astonished gaze, she dehydrates under the sun's heat, leaving only her skin. When the sun sets, the Count rolls the dried skin and hands it to Copernicus, explaining that dehydration preserves individuals during chaotic eras, allowing rehydration in stable times. They then proceed toward the pyramid.​

Virtual Reality Immersion: Jin Cheng's experience as Copernicus offers a deep dive into the game's complex world.​

Civilization's Ritual: The depiction of dehydration as a survival mechanism during chaotic eras highlights the civilization's resilience.​

Sacrificial Act: The Follower's voluntary dehydration underscores themes of devotion and the lengths individuals go to ensure their community's survival.​

Complex World-Building: The series intricately weaves virtual reality with profound cultural practices, offering viewers a unique narrative experience.​

Stunning Visuals: The portrayal of the virtual sun and the dehydration process is both visually captivating and thought-provoking.​

Deep Philosophical Themes: The episode delves into survival, sacrifice, and the human spirit's resilience, prompting viewers to reflect on their own beliefs and values.​

🔥 LIKE if this scene left you pondering its deeper meanings!
💬 COMMENT: What are your thoughts on the civilization's unique survival method?
🔔 SUBSCRIBE for more insights into the Three-Body Problem series!

#ThreeBodyProblem #JinCheng #VirtualReality #Civilization137 #Sacrifice #SciFiSeries #JessHong #SurvivalRituals #DeepThemes #MustWatch #TVScene #ThoughtProvoking #SciFiDrama",HlkIpdHcJek,1142505,2025-04-11T14:04:33.000Z,,3 Body Problem (S1E2) | Copernicus's Encounter with the Count and the Follower,https://www.youtube.com/watch?v=HlkIpdHcJek,21654018
entertainment,1,Brought Kooky,1354,US,,4wOpPxrcUsM,963400,2025-04-16T15:06:00.000Z,,DR: I’ve always wanted to say that.#show #shorts #shortvideo #doctorwho #doctor #say #want #tv #wow,https://www.youtube.com/watch?v=4wOpPxrcUsM,12388295
